Teams,City,Revenue
Los Angeles Dodgers,Los Angeles,3000000000
Chicago Cubs,Chicago,2900000000
San Francisco Giants,San Francisco,2850000000
Boston Red Sox,Boston Red,2800000000
New York Mets,New York,2100000000
St. Louis Cardinals,Saint Louis,1900000000
Los Angeles Angels,Los Angeles,1800000000
Philadelphia Phillies,Philadelphia,1700000000
Washington Nationals,Washington D.C.,1675000000
Houston Astros,Houston,1650000000
Atlanta Braves,Atlanta,1625000000
Texas Rangers,Arlington,1600000000
Chicago White Sox,Chicago White,1500000000
Seattle Mariners,Seattle,1450000000
Toronto Blue Jays,Toronto Blue,1350000000
San Diego Padres,San Diego,1270000000
Pittsburgh Pirates,Pittsburgh,1260000000
Detroit Tigers,Detroit,1225000000
Arizona Diamondbacks,Phoenix,1210000000
Baltimore Orioles,Baltimore,1200000000
Minnesota Twins,Minnesota,1150000000
Colorado Rockies,Denver,1100000000
Cleveland Indians,Cleveland,1045000000
Milwaukee Brewers,Milwaukee,1030000000
Oakland Athletics,Oakland,1020000000
Kansas City Royals,Kansas City,1015000000
Cincinnati Reds,Cincinnati,1010000000
Miami Marlins,Miami,1000000000
Tampa Bay Rays,Tampa Bay,900000000
