Population,Income,City,State
8390081,76565,New York,NY
3977596,63886,Los Angeles,CA
2701423,61642,Chicago,IL
2318573,57154,Houston,TX
1654675,46539,Phoenix,AZ
1583592,64228,Philadelphia,PA
1530016,47349,San Antonio,TX
1421917,61147,San Diego,CA
1341802,56864,Dallas,TX
1028020,108565,San Jose,CA
962469,59638,Austin,TX
902437,50321,Jacksonville,FL
893216,56864,Fort Worth,TX
890869,40980,Columbus,GA
872514,52295,Charlotte,NC
880696,100236,San Francisco,CA
742235,74815,Seattle,WA
716265,64690,Denver,CO
701547,72340,Washington,DC
691147,78923,Boston,MA
679875,36279,El Paso,TX
672977,52572,Detroit,MI
647912,47607,Oklahoma City,OK
650837,57913,Portland,ME
643228,47759,Las Vegas,NV
651104,46677,Memphis,TN
602443,62013,Baltimore,MD
591375,57034,Milwaukee,WI
559629,42469,Albuquerque,NM
544858,44015,Tucson,AZ
528814,43438,Fresno,CA
507945,46539,Mesa,AZ
507737,56502,Sacramento,CA
498183,53188,Atlanta,GA
492012,53484,Kansas City,MO
472567,49007,Colorado Springs,CO
477299,57374,Omaha,NE
469314,56207,Raleigh,NC
462819,59151,Miami,FL
465865,63886,Long Beach,CA
449849,50355,Virginia Beach,VA
429056,100236,Oakland,CA
424903,62914,Minneapolis,MN
400414,54875,Tulsa,OK
397232,47332,Tampa,FL
398123,56864,Arlington,TX
391004,52963,New Orleans,LA
389231,50391,Wichita,KS
381714,39794,Bakersfield,CA
383214,38594,Cleveland,TN
374572,64690,Aurora,CO
350698,63886,Anaheim,CA
329654,40382,Riverside,CA
326307,43677,Corpus Christi,TX
309518,47759,Henderson,NV
311628,44697,Stockton,CA
306960,62914,St. Paul,MN
302277,54055,Cincinnati,OH
303419,55277,St. Louis,MO
300570,58206,Pittsburgh,PA
294518,43437,Greensboro,NC
286930,49548,Lincoln,NE
285903,43717,Orlando,FL
281752,76565,Newark,NY
274557,52727,Durham,NC
270819,61147,Chula Vista,CA
274864,46919,Toledo,OH
267460,46478,Fort Wayne,IN
264466,47332,St. Petersburg,FL
260856,31491,Laredo,TX
263851,76565,Jersey City,NY
257186,46539,Chandler,AZ
257854,59591,Madison,WI
256469,42854,Lubbock,TX
250146,61900,Reno,NV
255781,50261,Buffalo,NY
243585,50355,Norfolk,VA
229221,57124,Richmond,VA
228442,46664,Boise City,ID
219332,46304,Spokane,WA
222190,48159,Baton Rouge,LA
216111,74815,Tacoma,WA
216323,40382,San Bernardino,CA
214389,43631,Modesto,CA
215994,53884,Des Moines,IA
210748,36874,Fayetteville,NC
210487,51723,Birmingham,AL
209271,61900,Oxnard,CA
206004,54918,Rochester,MN
194808,54373,Port St. Lucie,FL
200136,49054,Grand Rapids,MI
198125,50199,Huntsville,AL
200435,52150,Salt Lake City,UT
199183,46374,Amarillo,TX
198899,43365,Montgomery,AL
197884,49556,Akron,OH
197484,45070,Little Rock,AR
192763,43009,Tallahassee,FL
189468,51093,Cape Coral,FL
189809,38709,Mobile,AL
187362,46360,Knoxville,TN
189360,47002,Shreveport,LA
185555,55181,Worcester,MA
180718,40382,Ontario,CA
182887,57903,Vancouver,OR
180398,60237,Sioux Falls,SD
181918,46055,Chattanooga,TN
182333,28940,Brownsville,TX
182101,59151,Fort Lauderdale,FL
179520,54230,Providence,RI
178523,50355,Newport News,VA
176750,63397,Santa Rosa,CA
172263,48408,Peoria,IL
172646,43030,Salem,OR
170701,46124,Eugene,OR
168324,54207,Fort Collins,CO
167539,46124,Springfield,OR
163772,39173,Jackson,MI
159069,43015,Alexandria,LA
156376,40488,Clarksville,TN
156682,64690,Lakewood,CO
158622,52591,Lancaster,PA
155647,56634,Salinas,CA
152807,108565,Sunnyvale,CA
148683,41661,Killeen,TX
148090,61642,Naperville,IL
147064,74815,Bellevue,WA
141442,58779,Murfreesboro,TN
142173,54371,Midland,MI
146307,44029,Rockford,IL
145817,47038,Savannah,GA
144772,117432,Bridgeport,CT
142530,26615,McAllen,TX
142745,49954,Syracuse,NY
138953,56502,Roseville,CA
140439,47801,Dayton,OH
137886,40990,Waco,TX
136111,44198,Charleston,WV
133428,40206,Visalia,CA
133665,43291,Gainesville,FL
134376,52572,Warren,MI
133209,52261,Cedar Rapids,IA
128849,59638,Round Rock,TX
132770,62013,Columbia,MD
129085,108565,Santa Clara,CA
129993,55779,New Haven,CT
129806,117432,Stamford,CT
129743,52295,Concord,NC
127279,61900,Thousand Oaks,CA
126371,43518,Lafayette,LA
125778,46229,Topeka,KS
124091,53315,Fargo,ND
122616,64228,Wilmington,PA
122775,43585,Abilene,TX
120037,48449,Odessa,TX
122556,63446,Hartford,CT
121677,50756,Vallejo,CA
121537,53538,Allentown,PA
121663,100236,Berkeley,CA
121429,58823,Ann Arbor,MI
118151,78923,Cambridge,MA
118777,57154,Sugar Land,TX
117931,41202,Lansing,MI
118060,47067,Evansville,IN
116035,40498,College Station,TX
116324,47332,Clearwater,FL
117667,44138,Beaumont,TX
116630,41212,Provo,UT
113854,45959,Palm Bay,FL
115518,61147,Carlsbad,CA
113077,51202,North Charleston,SC
112073,43437,High Point,NC
112492,61111,Manchester,NH
111725,39293,Pueblo,CO
110421,35789,Lakeland,FL
111636,59151,Pompano Beach,FL
111490,61642,Elgin,IL
109444,52502,Billings,MT
108846,53188,Sandy Springs,GA
108201,57903,Hillsboro,OR
107475,48035,Greeley,CO
107218,63314,Santa Maria,CA
105668,55281,Tyler,TX
106008,73518,Boulder,CO
104356,43256,Wichita Falls,TX
104833,51575,Green Bay,WI
104798,117432,Norwalk,CT
102812,36192,Las Cruces,NM
94342,44576,Chico,CA
101971,47300,South Bend,IN
101918,49118,Davenport,IA
98036,26615,Edinburg,TX
100190,38429,Tuscaloosa,AL
99143,54778,Carmel,IN
99308,46304,Spokane Valley,WA
100009,47875,San Angelo,TX
97620,55612,Bend,OR
99009,47092,Roanoke,VA
97648,35012,Yuma,AZ
97187,43939,Lawrence,KS
97430,41212,Orem,UT
97011,38034,Albany,GA
95926,40618,Flint,MI
96298,45038,Erie,PA
94379,52572,Dearborn,MI
93548,43905,Yakima,WA
92689,41841,Greenville,NC
92945,40845,Lawton,OK
92630,45759,Asheville,NC
91718,43467,Deltona,FL
91606,46589,Redding,CA
90464,49464,Bellingham,WA
91203,63314,Santa Barbara,CA
84495,47349,New Braunfels,TX
87113,40053,St. George,UT
88871,61111,Nashua,NH
87994,45331,Champaign,IL
88641,78923,Newton,MA
88542,49439,Reading,PA
87720,37120,Fort Smith,AR
87202,44096,Ogden,UT
82229,51093,Fort Myers,FL
84817,40498,Bryan,TX
85517,51723,Hoover,AL
85139,49236,Bloomington,IL
85856,46004,Duluth,MN
84211,58696,Santa Fe,NM
82696,44548,Kennewick,WA
83958,26615,Mission,TX
84111,58443,Troy,NY
83113,39018,Merced,CA
83604,69080,Trenton,NJ
81027,58779,Franklin,TN
82333,46661,Medford,OR
82603,45959,Melbourne,FL
82380,51212,Sioux City,IA
81309,40394,Lynchburg,VA
81191,41805,Longview,TX
81789,38378,Auburn,AL
78842,56502,Folsom,CA
80907,66909,Springdale,AR
80966,54230,Warwick,RI
74275,59638,Georgetown,TX
76165,41661,Temple,TX
78266,48547,Lake Charles,LA
