﻿Team,Revenue
New York Rangers,253000000
Toronto Maple Leafs,232000000
Montreal Canadiens,239000000
Chicago Blackhawks,201000000
Boston Bruins,191000000
Los Angeles Kings,193000000
Philadelphia Flyers,186000000
Detroit Red Wings,171000000
Vancouver Canucks,168000000
Washington Capitals,194000000
Pittsburgh Penguins,185000000
Vegas Golden Knights,180000000
Edmonton Oilers,145000000
Dallas Stars,144000000
San Jose Sharks,148000000
Minnesota Wild,142000000
St Louis Blues,148000000
Anaheim Ducks,134000000
New Jersey Devils,166000000
Calgary Flames,132000000
Tampa Bay Lightning,146000000
New York Islanders,107000000
Ottawa Senators,124000000
Colorado Avalanche,119000000
Nashville Predators,132000000
Carolina Hurricanes,109000000
Winnipeg Jets,135000000
Buffalo Sabres,128000000
Columbus Blue Jackets,111000000
Florida Panthers,99000000
Arizona Coyotes,96000000
